Hierarchy,Identification,Name,Quantity,Unit,Value
1,B.03.06.a,CORDONATE IN PORFIDO SPESSORE 5 CM Testa a spacco,1,m,15.55
1,B.03.06.b,CORDONATE IN PORFIDO SPESSORE 5 CM testa segata,1,m,22.21
1,B.03.06.c,CORDONATE IN PORFIDO SPESSORE 5 CM testa fiammata,1,m,28.32
1,B.03.06.d,CORDONATE IN PORFIDO SPESSORE 5 CM testa segata e bocciardata,1,m,31.65
1,B.03.07.a,CORDONATE IN PORFIDO SPESSORE 6 CM Testa a spacco,1,m,15.55
1,B.03.07.b,CORDONATE IN PORFIDO SPESSORE 6 CM Testa segata,1,m,22.21
1,B.03.07.c,CORDONATE IN PORFIDO SPESSORE 6 CM Testa fiammata,1,m,28.32
1,B.03.07.d,CORDONATE IN PORFIDO SPESSORE 6 CM Testa segata e bocciardata,1,m,31.65
1,B.03.08.a,CORDONATE IN PORFIDO SPESSORE 7 CM Testa a spacco,1,m,18.88
1,B.03.08.b,CORDONATE IN PORFIDO SPESSORE 7 CM Testa segata,1,m,24.44
1,B.03.08.c,CORDONATE IN PORFIDO SPESSORE 7 CM Testa fiammata,1,m,29.99
1,B.03.08.d,CORDONATE IN PORFIDO SPESSORE 7 CM Testa segata e bocciardata,1,m,32.21
1,B.03.09.a,CORDONATE IN PORFIDO SPESSORE 8 CM Testa a spacco,1,m,28.32
1,B.03.09.b,CORDONATE IN PORFIDO SPESSORE 8 CM Testa segata,1,m,31.1
1,B.03.09.c,CORDONATE IN PORFIDO SPESSORE 8 CM Testa fiammata,1,m,38.88
1,B.03.09.d,CORDONATE IN PORFIDO SPESSORE 8 CM Testa segata e bocciardata,1,m,41.09
1,B.03.10.a,CORDONATE IN PORFIDO SPESSORE 10 CM Testa a spacco,1,m,33.32
1,B.03.10.b,CORDONATE IN PORFIDO SPESSORE 10 CM Testa segata,1,m,41.09
1,B.03.10.c,CORDONATE IN PORFIDO SPESSORE 10 CM Testa fiammata,1,m,47.76
1,B.03.10.d,CORDONATE IN PORFIDO SPESSORE 10 CM Testa segata e bocciardata,1,m,51.09
1,B.03.10.e,CORDONATE IN PORFIDO SPESSORE 10 CM Testa piano cava e lati segati per 15 cm,1,m,37.21
1,B.03.11.a,CORDONATE IN PORFIDO SPESSORE 12 CM Testa a spacco,1,m,37.77
1,B.03.11.b,CORDONATE IN PORFIDO SPESSORE 12 CM Testa segata,1,m,46.1
1,B.03.11.c,CORDONATE IN PORFIDO SPESSORE 12 CM Testa fiammata,1,m,52.2
1,B.03.11.d,CORDONATE IN PORFIDO SPESSORE 12 CM Testa segata e bocciardata,1,m,54.98
1,B.03.11.e,CORDONATE IN PORFIDO SPESSORE 12 CM Testa piano cava e lati segati per 15 cm,1,m,39.98
1,B.03.12.a,CORDONATE IN PORFIDO SPESSORE 15 CM Testa a spacco,1,m,49.99
1,B.03.12.b,CORDONATE IN PORFIDO SPESSORE 15 CM Testa segata,1,m,49.99
1,B.03.12.c,CORDONATE IN PORFIDO SPESSORE 15 CM Testa fiammata,1,m,57.76
1,B.03.12.d,CORDONATE IN PORFIDO SPESSORE 15 CM Testa segata e bocciardata,1,m,59.98
1,B.03.12.e,CORDONATE IN PORFIDO SPESSORE 15 CM Testa piano cava e lati segati per 15 cm,1,m,51.09
1,B.03.13.a,VOLTATESTA PER PASSI CARRAI IN PORFIDO Elemento terminale da 40x40 cm,1,cad,166.61
1,B.03.13.b,VOLTATESTA PER PASSI CARRAI IN PORFIDO Elemento terminale da 50x50 cm,1,cad,194.38
1,B.03.14.a,SOGLIE PER PASSI CARRAI IN PORFIDO Larghezza di 40 cm,1,m,44.43
1,B.03.14.b,SOGLIE PER PASSI CARRAI IN PORFIDO Larghezza di 50 cm,1,m,53.31
1,B.03.15.00,CIOTOLI DI FIUME PER PAVIMENTAZIONI,1,m²,24.12
1,B.03.16.a,LASTRE RETTANGOLARI SPESSORE 2 CM Granito bianco Montorfano,1,m²,157.51
1,B.03.16.b,LASTRE RETTANGOLARI SPESSORE 2 CM Granito sardo rosa,1,m²,90.1
1,B.03.16.c,LASTRE RETTANGOLARI SPESSORE 2 CM Granito sardo grigio,1,m²,98.55
1,B.03.16.d,LASTRE RETTANGOLARI SPESSORE 2 CM Granito rosa di Baveno,1,m²,144.26
1,B.03.16.e,LASTRE RETTANGOLARI SPESSORE 2 CM Granito verde Mergozzo,1,m²,144.26
1,B.03.16.f,LASTRE RETTANGOLARI SPESSORE 2 CM Granito rosso Argentina,1,m²,175.68
1,B.03.16.g,LASTRE RETTANGOLARI SPESSORE 2 CM Granito nero Brasile,1,m²,159.98
1,B.03.16.h,LASTRE RETTANGOLARI SPESSORE 2 CM Granito rosso Imperiale,1,m²,216.25
1,B.03.16.i,LASTRE RETTANGOLARI SPESSORE 2 CM Granito rosso Balmoral,1,m²,122.14
1,B.03.16.l,LASTRE RETTANGOLARI SPESSORE 2 CM Granito nero di Svezia,1,m²,257.1
1,B.03.16.m,LASTRE RETTANGOLARI SPESSORE 2 CM Africa Impala,1,m²,152.13
1,B.03.16.n,LASTRE RETTANGOLARI SPESSORE 2 CM Labrador scuro,1,m²,216.25
1,B.03.16.o,LASTRE RETTANGOLARI SPESSORE 2 CM Labrador azzurro,1,m²,231.39
1,B.03.16.p,LASTRE RETTANGOLARI SPESSORE 2 CM Serizzo di Valmasino,1,m²,128.55
1,B.03.16.q,LASTRE RETTANGOLARI SPESSORE 2 CM Serizzo Ghiandone,1,m²,109.12
1,B.03.16.r,LASTRE RETTANGOLARI SPESSORE 2 CM Serizzo di Antigorio,1,m²,82.84
1,B.03.16.s,LASTRE RETTANGOLARI SPESSORE 2 CM Sienite di Balma e Biella,1,m²,135.69
1,B.03.16.t,LASTRE RETTANGOLARI SPESSORE 2 CM Serpentino Valmalenco,1,m²,114.27
1,B.03.16.u,LASTRE RETTANGOLARI SPESSORE 2 CM Porfido viola Valcamonica,1,m²,241.01
1,B.03.16.v,LASTRE RETTANGOLARI SPESSORE 2 CM beola grigia e ghiandonata,1,m²,141.9
1,B.03.16.w,LASTRE RETTANGOLARI SPESSORE 2 CM Pietra Piasentina,1,m²,278.32
1,B.03.16.x,LASTRE RETTANGOLARI SPESSORE 2 CM Beola bianca,1,m²,192.02
1,B.03.16.y,LASTRE RETTANGOLARI SPESSORE 2 CM Dorato Valmalenco,1,m²,171.6
1,B.03.16.z,LASTRE RETTANGOLARI SPESSORE 2 CM Pietra di Luserna,1,m²,158.18
1,B.03.17.a,LASTRE RETTANGOLARI SPESSORE 3 CM Granito bianco Montorfano,1,m²,202.91
1,B.03.17.b,LASTRE RETTANGOLARI SPESSORE 3 CM Granito sardo rosa,1,m²,117.13
1,B.03.17.c,LASTRE RETTANGOLARI SPESSORE 3 CM Granito sardo grigio,1,m²,129.13
1,B.03.17.d,LASTRE RETTANGOLARI SPESSORE 3 CM Granito rosa di Baveno,1,m²,190.68
1,B.03.17.e,LASTRE RETTANGOLARI SPESSORE 3 CM Granito verde Mergozzo,1,m²,190.68
1,B.03.17.f,LASTRE RETTANGOLARI SPESSORE 3 CM Granito rosso Argentina,1,m²,225.67
1,B.03.17.g,LASTRE RETTANGOLARI SPESSORE 3 CM Granito nero Brasile,1,m²,209.97
1,B.03.17.h,LASTRE RETTANGOLARI SPESSORE 3 CM Granito rosso Imperiale,1,m²,282.82
1,B.03.17.i,LASTRE RETTANGOLARI SPESSORE 3 CM Granito rosso Balmoral,1,m²,199.7
1,B.03.17.l,LASTRE RETTANGOLARI SPESSORE 3 CM Granito nero di Svezia,1,m²,331.38
1,B.03.17.m,LASTRE RETTANGOLARI SPESSORE 3 CM Africa Impala,1,m²,194.25
1,B.03.17.n,LASTRE RETTANGOLARI SPESSORE 3 CM Labrador scuro,1,m²,283.99
1,B.03.17.o,LASTRE RETTANGOLARI SPESSORE 3 CM Labrador azzurro,1,m²,301.38
1,B.03.17.p,LASTRE RETTANGOLARI SPESSORE 3 CM Serizzo di Valmasino,1,m²,167.12
1,B.03.17.q,LASTRE RETTANGOLARI SPESSORE 3 CM Serizzo Ghiandone,1,m²,138.66
1,B.03.17.r,LASTRE RETTANGOLARI SPESSORE 3 CM Serizzo di Antigorio,1,m²,107.12
1,B.03.17.s,LASTRE RETTANGOLARI SPESSORE 3 CM Sienite di Balma e Biella,1,m²,174.26
1,B.03.17.t,LASTRE RETTANGOLARI SPESSORE 3 CM Serpentino Valmalenco,1,m²,148.54
1,B.03.17.u,LASTRE RETTANGOLARI SPESSORE 3 CM Porfido viola Valcamonica,1,m²,318.71
1,B.03.17.v,LASTRE RETTANGOLARI SPESSORE 3 CM beola grigia e ghiandonata,1,m²,183.35
1,B.03.17.w,LASTRE RETTANGOLARI SPESSORE 3 CM Pietra Piasentina,1,m²,370.77
1,B.03.17.x,LASTRE RETTANGOLARI SPESSORE 3 CM Beola bianca,1,m²,252.76
1,B.03.17.y,LASTRE RETTANGOLARI SPESSORE 3 CM Dorato Valmalenco,1,m²,224.13
1,B.03.17.z,LASTRE RETTANGOLARI SPESSORE 3 CM Pietra di Luserna,1,m²,204.83
1,B.03.18.a,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino chiaro Rapolano,1,m²,175
1,B.03.18.b,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino scuro Rapolano,1,m²,175
1,B.03.18.c,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino corrente Romano,1,m²,185.89
1,B.03.18.d,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino chiaro Romano,1,m²,185.89
1,B.03.18.e,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino scuro Romano,1,m²,185.89
1,B.03.18.f,LASTRE RETTANGOLARI SPESSORE 2 CM Travertino chiaro Navona,1,m²,316.04
1,B.03.18.h,LASTRE RETTANGOLARI SPESSORE 2 CM Peperino grigio,1,m²,144.7
1,B.03.18.i,LASTRE RETTANGOLARI SPESSORE 2 CM Peperino rosato,1,m²,214.09
1,B.03.18.l,LASTRE RETTANGOLARI SPESSORE 2 CM Trachite gialla,1,m²,117.13
1,B.03.18.m,LASTRE RETTANGOLARI SPESSORE 2 CM Zovonite gialla e grigia,1,m²,117.13
1,B.03.18.n,LASTRE RETTANGOLARI SPESSORE 2 CM Lava grigia,1,m²,131.68
1,B.03.18.o,LASTRE RETTANGOLARI SPESSORE 2 CM Santafiora,1,m²,181.54
1,B.03.18.r,LASTRE RETTANGOLARI SPESSORE 2 CM Pietra dorata,1,m²,159.86
1,B.03.19.a,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino chiaro Rapolano Travertino chiaro Rapolano,1,m²,215.46
1,B.03.19.b,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino scuro Rapolano Travertino scuro Rapolano,1,m²,215.46
1,B.03.19.c,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino corrente Romano Travertino corrente Romano,1,m²,230.6
1,B.03.19.d,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino chiaro Romano Travertino chiaro Romano,1,m²,230.6
1,B.03.19.e,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino scuro Romano Travertino scuro Romano,1,m²,412.82
1,B.03.19.f,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Travertino chiaro Navona Travertino chiaro Navona,1,m²,412.82
1,B.03.19.g,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Pietra di Vicenza Pietra di Vicenza,1,m²,136.03
1,B.03.19.h,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Peperino grigio Peperino grigio,1,m²,187.68
1,B.03.19.i,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Peperino rosato Peperino rosato,1,m²,284.86
1,B.03.19.l,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Trachite gialla Trachite gialla,1,m²,155.69
1,B.03.19.m,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Zovonite gialla e grigia Zovonite gialla e grigia,1,m²,155.69
1,B.03.19.n,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Lava grigia Lava grigia,1,m²,152.51
1,B.03.19.o,LASTRE RETTANGOLARI SPESSORE 3 CMLASTRE RETTANGOLARI SPESSORE 3 CM Santafiora Santafiora,1,m²,224.13
